"Project title: ONION MAGGOT/SHAPE X SIZE TRIAL ""SIZE"" JUNE 2006",,,,,
Document: ONION_TRAP DESIGN_PROTOCOL AND DATA_2006.docx,,,,,
,,,,,
acet_title:,om_size_trials_2006,,,,
Objective:,Evaluate onion maggot fly attraction to  traps of different size,,,,
Method Brief:,Different size spherical traps were covered with sticky material and placed in the field in 2006.  Male and Female onion maggot stuck to the traps were evaluated,,,,
Notes:,Size 1 = 5cm diameter,,,,
,SIze2 = 6.25cm diameter,,,,
,Size3 = 7.5cm diameter,,,,
,Size4 = 8.75cm diameter,,,,
,Size 5 = 10cm diameter,,,,
,,,,,
,,,,,
"Original document and project brief received from Brian Nault in late 2018, data entered into tabular form in this document May 7, 2019",,,,,
,,,,,
,,,,,
replication,treatment,shape,size,females,males
1,6,SPH,1,9,9
1,7,SPH,2,3,7
1,8,SPH,3,6,7
1,9,SPH,4,5,10
1,10,SPH,5,8,19
2,6,SPH,1,9,7
2,7,SPH,2,11,8
2,8,SPH,3,12,12
2,9,SPH,4,16,15
2,10,SPH,5,17,32
3,6,SPH,1,10,2
3,7,SPH,2,9,7
3,8,SPH,3,8,8
3,9,SPH,4,3,15
3,10,SPH,5,12,29
4,6,SPH,1,4,5
4,7,SPH,2,6,10
4,8,SPH,3,2,10
4,9,SPH,4,7,8
4,10,SPH,5,9,29
5,6,SPH,1,5,8
5,7,SPH,2,5,11
5,8,SPH,3,12,13
5,9,SPH,4,7,15
5,10,SPH,5,13,23